,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D038,0.0273831583281861,0.404364834259831,0.116532839201153,0.0551780934733375,0.000411776816965205,0.00123533045089561,0.00514721021206506,0.0177064031295038,0.00329421453572164,0.00226477249330863,0.172946263125386,0.138562898908791,0.00350010294420424,0.0514721021206506
D039,0.066068515497553,0.0179445350734095,0.34910277324633,0.0603588907014682,0.000815660685154976,0.00244698205546493,0.0456769983686786,0.0375203915171289,0.00897226753670473,0.0138662316476346,0.0685154975530179,0.298531810766721,0.0179445350734095,0.0122349102773246
D040,0.0335804622764937,0.137810728303532,0.172263410379416,0.0662887047535979,0.00261665939816834,0.0117749672917575,0.00479720889664195,0.0968163977322285,0.000872219799389446,0.0152638464893153,0.280854775403402,0.133013519406891,0.0209332751853467,0.0231138246838203
D041,0.0958549222797927,0.109326424870466,0.12279792746114,0.089119170984456,0.000518134715025907,0.0383419689119171,0.00569948186528497,0.0461139896373057,0.0207253886010363,0.0077720207253886,0.225388601036269,0.153367875647668,0.0367875647668394,0.0481865284974093
D042,0.318302387267904,0.0185676392572944,0.187002652519894,0.0596816976127321,0.0291777188328912,0.0013262599469496,0.0557029177718833,0.0636604774535809,0.0145888594164456,0.0159151193633952,0.135278514588859,0.0755968169761273,0.0212201591511936,0.00397877984084881
D043,0.0121457489878543,0.0121457489878543,0.263157894736842,0.0356275303643725,0,0.0097165991902834,0.00647773279352227,0.180566801619433,0.00161943319838057,0.0331983805668016,0.262348178137652,0.129554655870445,0.011336032388664,0.0421052631578947
D044,0.0371009490940466,0.109577221742882,0.55090595340811,0.0591026747195859,0.00129421915444349,0.00560828300258844,0.000431406384814495,0.0159620362381363,0.00690250215703192,0.00345125107851596,0.048748921484038,0.117773943054357,0.00215703192407248,0.040983606557377
D045,0.0273522975929978,0.012035010940919,0.525164113785558,0.0164113785557987,0,0.00218818380743982,0.012035010940919,0.00656455142231947,0.00109409190371991,0.0164113785557987,0.181619256017505,0.12800875273523,0.0295404814004376,0.0415754923413567
D046,0.13,0.0205555555555556,0.1575,0.0333333333333333,0.00222222222222222,0.00694444444444444,0.00361111111111111,0.065,0.000555555555555556,0.0291666666666667,0.107777777777778,0.145555555555556,0.275,0.0227777777777778
D047,0.172864732325296,0.0388230486309767,0.085002043318349,0.0678381691867593,0.00490396403759706,0.0224765018389865,0.00367797302819779,0.0796894156109522,0.00163465467919902,0.0343277482631794,0.277891295463833,0.111156518185533,0.0212505108295872,0.0784634246015529
D048,0.0594145915246833,0.193534294451726,0.0926168632590651,0.109654871122761,0.000436871996505024,0.0270860637833115,0.0192223678462211,0.0790738313674094,0.00131061598951507,0.0297072957623416,0.073394495412844,0.251638269986894,0.0117955439056356,0.0511140235910878
D049,0.0904392764857881,0.0245478036175711,0.373385012919897,0.0322997416020672,0.00129198966408269,0.020671834625323,0.00387596899224806,0.0271317829457364,0.00129198966408269,0.041343669250646,0.140826873385013,0.165374677002584,0.00775193798449612,0.0697674418604651
D050,0.134274193548387,0.138709677419355,0.121370967741935,0.121774193548387,0.00725806451612903,0.0157258064516129,0.0108870967741935,0.16491935483871,0.00120967741935484,0.00241935483870968,0.123387096774194,0.105645161290323,0.0181451612903226,0.0342741935483871
D051,0.0297297297297297,0.00630630630630631,0.373873873873874,0.0135135135135135,0.000900900900900901,0.0045045045045045,0.000900900900900901,0.204504504504504,0.0126126126126126,0.0225225225225225,0.233333333333333,0.0612612612612613,0.0252252252252252,0.0108108108108108
D052,0.0147710487444609,0.0147710487444609,0.505169867060561,0.134416543574594,0,0.0162481536189069,0.0132939438700148,0.0236336779911374,0.00147710487444609,0.0192023633677991,0.104874446085672,0.0709010339734121,0.0221565731166913,0.0590841949778434
D053,0.0172811059907834,0.213421658986175,0.200460829493088,0.00864055299539171,0.00144009216589862,0.000288018433179724,0.00144009216589862,0.0106566820276498,0.000864055299539171,0.000864055299539171,0.203629032258065,0.287730414746544,0.0112327188940092,0.0420506912442396
D054,0.0194539249146758,0.0136518771331058,0.266211604095563,0.0972696245733788,0.00136518771331058,0.0627986348122867,0.00170648464163823,0.0150170648464164,0.000341296928327645,0.0221843003412969,0.250170648464164,0.192491467576792,0.0283276450511945,0.0290102389078498
D055,0.0602500947328534,0.20613868889731,0.113679424024252,0.0272830617658204,0.00378931413414172,0.0121258052292535,0.0117468738158393,0.0212201591511936,0,0.0306934444865479,0.21523304281925,0.246305418719212,0.0272830617658204,0.024251610458507
D056,0.0587188612099644,0.217081850533808,0.180901542111507,0.0456702253855279,0,0.0148279952550415,0.00711743772241993,0.0355871886120996,0.0118623962040332,0.0160142348754448,0.151838671411625,0.19276393831554,0.0219454329774614,0.0456702253855279
D057,0.0537883169462117,0.00520532099479468,0.444765760555234,0.0780798149219202,0.000578368999421631,0.00289184499710815,0.00289184499710815,0.20936957779063,0.010989010989011,0.00289184499710815,0.0133024869866975,0.144592249855408,0.0231347599768652,0.0075187969924812
D058,0.0622849277357192,0.00929112181693049,0.281486579490709,0.0106675843083276,0,0.0075705437026841,0.00137646249139711,0.384721266345492,0.0030970406056435,0.00963523743977977,0.0598761183757743,0.063317274604267,0.0767377838953889,0.0299380591878871
D059,0.00890985324947589,0.0340670859538784,0.264150943396226,0.00733752620545073,0,0.0157232704402516,0.00209643605870021,0.00681341719077568,0.00419287211740042,0.311844863731656,0.0838574423480084,0.179245283018868,0.0272536687631027,0.0545073375262055
D060,0.0557868442964196,0.117402164862614,0.316402997502082,0.0383014154870941,0.00582847626977519,0.00666111573688593,0.0607826810990841,0.0233139050791007,0.000832639467110741,0.0274771024146545,0.140716069941715,0.132389675270608,0.0424646128226478,0.0316402997502082
D061,0.0627218934911243,0.0248520710059172,0.431952662721893,0.0189349112426036,0,0.00946745562130178,0.00473372781065089,0.0745562130177515,0.00236686390532544,0.0449704142011834,0.0887573964497041,0.190532544378698,0.0165680473372781,0.029585798816568
D062,0.0788278992983904,0.11473380107305,0.0763516302104829,0.0561287659925712,0.000825423029302518,0.0160957490713991,0.00742880726372266,0.0177465951300041,0.00412711514651259,0.0247626908790755,0.261246388774247,0.297152290548906,0.0144449030127941,0.0301279405695419
D063,0.0542965061378659,0.23371104815864,0.136921624173749,0.0231350330500472,0.0056657223796034,0.00141643059490085,0.00519357884796978,0.0273843248347498,0.00897072710103872,0.0203021718602455,0.154390934844193,0.238432483474976,0.0151085930122757,0.075070821529745
D064,0.180655475619504,0.00479616306954436,0.614708233413269,0.0343725019984013,0.00159872102318145,0.00719424460431655,0,0.0399680255795364,0.00399680255795364,0.017585931254996,0.0559552358113509,0.0247801758593125,0.00799360511590727,0.00639488409272582
D065,0.0512540894220284,0.0490730643402399,0.334787350054526,0.0327153762268266,0,0.00109051254089422,0.00327153762268266,0.174482006543075,0.00109051254089422,0.0119956379498364,0.197382769901854,0.0894220283533261,0.0305343511450382,0.0229007633587786
D066,0.0617495711835334,0.133218982275586,0.210977701543739,0.00686106346483705,0.00400228702115495,0.000571755288736421,0.05431675242996,0.00857632933104631,0.00400228702115495,0.0274442538593482,0.30989136649514,0.127501429388222,0.032590051457976,0.0182961692395655
D067,0.0180489901160292,0.250107434464976,0.0945423291792007,0.0605930382466695,0,0.00171895143962183,0.0240653201547056,0.00988397077782553,0.00171895143962183,0.00988397077782553,0.0846583584013752,0.359260850880963,0.0421143102707349,0.0434035238504512
D068,0.095,0,0.2925,0.025,0,0,0.07,0.0225,0.01,0.1025,0.0425,0.29,0.035,0.015
D069,0.0161054172767204,0,0.46705710102489,0.04099560761347,0,0.00732064421669107,0.00146412884333821,0.0102489019033675,0,0.0307467057101025,0.0644216691068814,0.175695461200586,0.168374816983895,0.0175695461200586
D070,0.0518713066316481,0.000656598818122127,0.20682862770847,0.00393959290873276,0,0.00262639527248851,0.00131319763624425,0.257386736703874,0,0.00787918581746553,0.00262639527248851,0.111621799080762,0.352593565331582,0.000656598818122127
D071,0.114794656110836,0.00148441365660564,0.133597229094508,0.121721919841663,0.0024740227610094,0.0118753092528451,0.0118753092528451,0.0489856506679861,0.00148441365660564,0.0183077684314696,0.0658090054428501,0.241464621474518,0.208807521029193,0.0173181593270658
D072,0.0568978955572876,0.0966484801247077,0.525331254871395,0.0303975058456742,0.000779423226812159,0.00779423226812159,0.00389711613406079,0.0366328916601715,0.00623538581449727,0.0101325019485581,0.0818394388152767,0.123148869836321,0.0171473109898675,0.00311769290724864
D073,0.0232558139534884,0.0585404971932638,0.38813151563753,0.020850040096231,0.00481154771451484,0.000801924619085806,0.0272654370489174,0.0128307939053729,0.00320769847634322,0.0104250200481155,0.125902165196472,0.246992782678428,0.0280673616680032,0.0489174017642342
