"","Alt MAC","B cell","Cancer","Cl MAC","Cl Mo","DCs cell","Endothelial cell","Int Mo","Mast cell","Neutrophils","NK cell","Non-Cl Mo","Tc","Th","T other","Treg"
"D183",26.8923499232572,2.98803888036191,2788.83628833778,129.481684815683,10.956142561327,0,218.12683826642,7.9681036809651,6.97209072084446,13.9441814416889,0.996012960120637,17.9282332821715,66.7328683280827,116.533516334115,20.9162721625334,1.99202592024127
"D184",65.2613717940351,5.02010552261809,2057.23924316889,306.226436879703,1.00402110452362,0,317.270669029463,0,6.0241266271417,39.1568230764211,35.1407386583266,22.0884642995196,51.2050763307045,234.940938458526,137.550891319736,2.00804220904723
"D185",2.00804220904723,35.1407386583266,2218.88664099719,430.725053840632,43.1729074945155,0,95.3820049297436,1.00402110452362,43.1729074945155,5.02010552261809,2.00804220904723,5.02010552261809,108.434279288551,184.739883232346,46.1849708080864,7.02814773166532
"D186",14.9401944018096,1159.35908558042,1407.36631265046,570.715426149125,93.6252182513399,0,165.338151380026,13.9441814416889,6.97209072084446,148.405931057975,3.98405184048255,25.8963369631366,583.663594630693,851.591080903145,151.393969938337,41.8325443250668
"D187",54.1627047651144,13.0391696656757,2798.40641286424,383.150985560624,47.1416134066736,0,248.747236699044,3.00903915361747,2.00602610241164,204.614662445988,3.00903915361747,12.0361566144699,34.102443740998,197.593571087547,21.0632740753223,56.1687308675261
"D188",331.008299135789,375.873881849977,1377.87189580018,243.271159605821,216.351809977308,8.97311654283766,837.490877331515,164.50713661869,33.8984402729423,200.399602790041,17.9462330856753,51.8446733586176,609.174911963757,892.326589537745,84.7461006823557,130.608696345748
"D189",20.9372719332879,118.644540955298,3532.41687903042,292.124794116826,29.9103884761255,0.997012949204184,233.301030113779,3.98805179681674,52.8416863078218,65.8028546474762,0.997012949204184,18.9432460348795,133.599735193361,264.208431539109,29.9103884761255,58.8237640030469
"D190",26.919349628513,15.9522071872669,1534.40292882524,516.452707687767,12.9611683396544,0,341.975441577035,0,13.9581812888586,34.8954532221465,2.99103884761255,5.98207769522511,136.590774040973,252.244276148659,67.7968805458845,28.9133755269213
"D191",100.698307869623,13.9581812888586,1043.87255781678,415.754399818145,87.7371395299682,11.9641553904502,92.7222042759891,104.686359666439,41.8745438665757,65.8028546474762,0.997012949204184,150.548955329832,164.50713661869,744.768673055526,44.8655827141883,71.7849323427013
"D192",12.8709812836131,4.95037741677425,1345.51258187924,187.124266354067,0,0,165.34260572026,0,10.8908303169034,18.8114341837422,4.95037741677425,7.92060386683881,54.4541515845168,96.0373218854205,52.4740006178071,3.9603019334194
"D193",158.525058923465,33.8984402729423,1744.77266110732,938.189185201137,107.677398514052,2.99103884761255,238.2860948598,13.9581812888586,2.99103884761255,178.465317907549,0.997012949204184,19.9402589840837,78.7640229871306,303.091936558072,14.9551942380628,62.8118157998636
