"","Alt MAC","B cell","Cancer","Cl MAC","Cl Mo","DCs cell","Endothelial cell","Int Mo","Mast cell","Neutrophils","NK cell","Non-Cl Mo","Tc","Th","T other","Treg"
"D073",0.00855962219598583,0.0215466351829988,0.609208972845336,0.142857142857143,0.0076741440377804,0.00177095631641086,0.0227272727272727,0.000295159386068477,0.0100354191263282,0.00472255017709563,0.00118063754427391,0.0038370720188902,0.0463400236127509,0.0909090909090909,0.0103305785123967,0.0180047225501771
"D074",0.0645494448747741,0.050864962561322,0.241931319390653,0.0477665892073328,0.106635682933127,0.00129098889749548,0.04570100697134,0.0136844823134521,0.00284017557449006,0.115672605215595,0.00284017557449006,0.0111025045184611,0.0180738445649367,0.209656596953266,0.0524141492383165,0.0149754712109476
"D075",0.0351596203623814,0.0446505608283003,0.179033649698016,0.149050905953408,0.0362381363244176,0.000431406384814495,0.0942622950819672,0.0120793787748059,0.00366695427092321,0.0107851596203624,0.000431406384814495,0.0319240724762727,0.116264020707506,0.235979292493529,0.0286885245901639,0.0213546160483175
"D076",0.00567375886524823,0.0229314420803782,0.473286052009456,0.105910165484634,0.0111111111111111,0.000236406619385343,0.0529550827423168,0.015839243498818,0.00212765957446809,0.0066193853427896,0.000236406619385343,0.0375886524822695,0.144917257683215,0.0732860520094563,0.033806146572104,0.0134751773049645
"D077",0.0887117510928259,0.0336847518642324,0.418873746464387,0.0920545127282078,0.0722550784263307,0.00128567755206994,0.0401131396245822,0.0251992800205708,0.00257135510413988,0.0622267935201851,0.00205708408331191,0.00488557469786577,0.0822833633324762,0.0403702751349961,0.0138853175623554,0.0195422987914631
"D078",0.00198856574695501,0.0193885160328113,0.662938105891126,0.0897340293313448,0.0144171016654238,0,0.050211285110614,0.00223713646532438,0.000497141436738752,0.0104399701715138,0.00124285359184688,0.00447427293064877,0.0678598061148397,0.0442455878697489,0.0213770817797663,0.00894854586129754
"D079",0.0122189638318671,0.000488758553274682,0.729960899315738,0.133675464320626,0.00342130987292278,0.000733137829912023,0.0432551319648094,0.000244379276637341,0.0041544477028348,0.00293255131964809,0.000733137829912023,0.00219941348973607,0.020039100684262,0.0351906158357771,0.00708699902248289,0.00366568914956012
"D080",0.0201931518876207,0.215100965759438,0.0807726075504829,0.162423178226514,0.00263388937664618,0.00351185250219491,0.0746268656716418,0,0.019315188762072,0.00438981562774363,0.00702370500438982,0.00438981562774363,0.0509218612818262,0.295873573309921,0.0526777875329236,0.00614574187884109
"D081",0.0372556252305422,0.0315381777941719,0.587790483216525,0.0568056067871634,0.0112504610844707,0.000922168941350055,0.0651051272593139,0.0049797122832903,0.000737735153080044,0.0108815935079307,0.0016599040944301,0.00534857985983032,0.142751752120989,0.0284028033935817,0.0049797122832903,0.00959055699004058
"D082",0.0358432181536875,0.0801959773078907,0.489169675090253,0.0580195977307891,0.0100567302733368,0.00128932439401753,0.0928313563692625,0.00257864878803507,0.00670448684889118,0.0206291903042806,0.00825167612171222,0.00335224342444559,0.0907684373388345,0.0660134089736978,0.00670448684889118,0.0275915420319752
"D083",0.0148966842864008,0.00816914944738107,0.592023065833734,0.0821720326765978,0.0100913022585296,0,0.0615088899567516,0,0.000961076405574243,0.0100913022585296,0.000480538202787122,0.00576645843344546,0.0494954348870735,0.142239308024988,0.00961076405574243,0.0124939932724652
"D084",0.00893997445721584,0.00127713920817369,0.303959131545338,0.30779054916986,0.0753512132822478,0.00127713920817369,0.0446998722860792,0.00255427841634738,0.016602809706258,0.0408684546615581,0.00766283524904215,0.0242656449553001,0.0293742017879949,0.0791826309067688,0.0434227330779055,0.0127713920817369
"D085",0.0179721939640556,0.0593421498813157,0.192607663614785,0.163106137673788,0.00983384198033232,0.00644286198711428,0.106137673787725,0.00779925398440149,0.00271278399457443,0.00576466598847067,0.00508646998982706,0.0430654459138691,0.190573075618854,0.161071549677857,0.00983384198033232,0.0186503899626992
"D086",0.00894117647058824,0.000941176470588235,0.690823529411765,0.0842352941176471,0.00329411764705882,0,0.0894117647058824,0,0.000941176470588235,0.00329411764705882,0.000470588235294118,0.000941176470588235,0.0188235294117647,0.08,0.008,0.00988235294117647
"D087",0.00659250103007829,0.0300782859497322,0.701277297074578,0.0733415739596209,0.000412031314379893,0.00206015657189946,0.0778739184177998,0,0.0189534404614751,0.00700453234445818,0,0.00412031314379893,0.023073753605274,0.0403790688092295,0.00741656365883807,0.00741656365883807
"D088",0.0180349427014841,0.00770242344542551,0.603231260567349,0.0719519068194627,0.0236708622956979,0.00281795979710689,0.0392635731730227,0.00713883148600413,0.00225436783768552,0.0386999812136014,0.00225436783768552,0.0105203832425324,0.0695096749953034,0.0723276347924103,0.00995679128311103,0.0206650385121172
